Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link,,,,
EL,,,,Abdul Satar Ghoura,,"501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Abdul Satar Ghoura,,Flat No. 41 Block No 24 Macroyan 3,Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Afghan-German Construction Company,,"Golaye Park, Shari Naw",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Afghan-German Construction Company,,,Dasht Qala,Takhar Province,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Assadullah Majed,,42S WD 18476 22167,Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Assadullah Majed,,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Fazal Rahim Farid,,"Microrayan 3rd Apt. 45, block #21",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Fazel Rahim Farid; Farid; and Engineer Idris,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Fazal Rahim Farid,,"A2 Ground Floor, City Computer Plaza, Shar-e-Naw",Kabul,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Fazel Rahim Farid; Farid; and Engineer Idris,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Habib ur Rahman,,,Ghazni City,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,Hanif; and Habib Rahman,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Haji Khalil Construction Company,,"Wazir Akbar Khan, Road Number 10, In front of National Bank, District 10",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Hanif Computer Zone (HCZ),,,Ghazni City,,,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL,,,,Heim German Afghan Khalil Company,,"Wazir Akbar Khan, District 10",Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
EL, ,,,Heim German Afghan Khalil Company,,Shahr-e-Now,Kabul,,,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,,,,,,http://www.bis.doc.gov/entities/default.htm,,,,
